source_sectors,n
"International Ethnic,Finance / Economy / Commerce / Trade Ministry,Pashtun,Executive,Cabinet,Government",2
"International Ethnic,Foreign Ministry,Executive,Pashtun,Government",2
"International Ethnic,Garo-Tripuri,Separatists,Dissident",2
"International Ethnic,Government,Justice / Law Ministry,Executive,Jews",2
"International Ethnic,Government,Pashtun,Interior / Home Ministry,Defense / Security Ministry,Executive,Cabinet",2
"International Ethnic,Human Rights IGOs,Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Legal NGOs,Arab",2
"International Ethnic,Hutu,Elite",2
"International Ethnic,Ideological,Elite,Nationalist,Tajik",2
"International Ethnic,Ideological,Government,Unicameral,Legislative / Parliamentary,Jews,Centrist",2
"International Ethnic,Ideological,Nationalist,Tajik,Unidentified Forces",2
"International Ethnic,Ideological,Tajik,Elite,Nationalist",2
"International Ethnic,Ideological,Unicameral,Government,Centrist,Legislative / Parliamentary,Jews",2
"International Ethnic,Ijaw,Executive Office,Elite,Executive,Government",2
"International Ethnic,Insurgents,Dissident,Afar",2
"International Ethnic,Interior / Home Ministry,Defense / Security Ministry,Pashtun,Government,Executive,Cabinet",2
"International Ethnic,Interior / Home Ministry,Pashtun,Defense / Security Ministry,Executive,Cabinet,Government",2
"International Ethnic,International Insurgents,Insurgents,Kashmiri,Dissident,International Dissident,Muslim,International Religious,Separatists",2
"International Ethnic,International Religious,Criminals / Gangs,Assyrian / Aramaic,Catholic,Dissident",2
"International Ethnic,International Religious,Kashmiri,Dissident,Separatists,Insurgents,Muslim",2
"International Ethnic,Jews,Justice / Law Ministry,Executive,Government",2
"International Ethnic,Kashmiri,Dissident,Insurgents,Muslim,Separatists,International Religious",2
"International Ethnic,Kashmiri,Dissident,International Religious,Separatists,Insurgents,Muslim",2
"International Ethnic,Kashmiri,Dissident,Protestors / Popular Opposition / Mobs",2
"International Ethnic,Kashmiri,International Religious,Muslim,Protestors / Popular Opposition / Mobs,Dissident",2
"International Ethnic,Kru",2
"International Ethnic,Kurd (Ethnic Group),Executive Office,Executive,Government",2
"International Ethnic,Kurd (Ethnic Group),National Ethnic Minority,Social,National Ethnic",2
"International Ethnic,Kurd (Ethnic Group),National Ethnic,Social,National Ethnic Minority",2
"International Ethnic,Maya,National Ethnic,Social",2
"International Ethnic,Military,Army,Defense / Security Ministry,Executive,Cabinet,Nubian,Government",2
"International Ethnic,Military,Defense / Security Ministry,Executive,Army,Nubian,Government,Cabinet",2
"International Ethnic,Military,Government,Army,Pashtun",2
"International Ethnic,Military,Government,Other Sub-Saharan African",2
"International Ethnic,Military,Pashtun,Government,Army",2
"International Ethnic,Mongolian,Government,Provincial,Local",2
"International Ethnic,Muslim,Dissident,Separatists,International Religious",2
"International Ethnic,Muslim,Kashmiri,International Religious,Dissident,Protestors / Popular Opposition / Mobs",2
"International Ethnic,National Ethnic Majority,National Ethnic,Government,Executive Office,Executive,Social",2
"International Ethnic,National Ethnic Minority,Chechen,National Ethnic,Provincial,Local,Government,Social",2
"International Ethnic,National Ethnic Minority,Dissident,Chechen,National Ethnic,International Religious,Muslim,Criminals / Gangs,Social",2
"International Ethnic,National Ethnic Minority,Dissident,Chechen,National Ethnic,International Religious,Separatists,Muslim,Social",2
"International Ethnic,National Ethnic Minority,National Ethnic,Kurd (Ethnic Group),Social",2
"International Ethnic,National Ethnic Minority,National Ethnic,Social,South American Indigenous",2
"International Ethnic,National Ethnic Minority,Other Sub-Saharan African,Social,National Ethnic",2
"International Ethnic,National Ethnic Minority,Separatists,National Ethnic,Sufi,Chechen,International Religious,Social,Dissident",2
"International Ethnic,National Ethnic Minority,South American Indigenous,Social,National Ethnic",2
"International Ethnic,National Ethnic,Bantu, East-Coastal,Government,Social,Unicameral,Legislative / Parliamentary,Bantu",2
"International Ethnic,National Ethnic,Bantu, Gikuyu-Kamba,Government,Social,Unicameral,Legislative / Parliamentary,Bantu",2
"International Ethnic,National Ethnic,Bantu,Social,Bantu, East-Coastal",2
"International Ethnic,National Ethnic,Chechen,Lower House,Legislative / Parliamentary,Social,Government,National Ethnic Minority",2
"International Ethnic,National Ethnic,Dissident,National Ethnic Minority,Chechen,International Religious,Muslim,Separatists,Social",2
"International Ethnic,National Ethnic,National Ethnic Minority,Social,Other Central American Indigenous",2
"International Ethnic,National Ethnic,Social,Bantu,Bantu, Gikuyu-Kamba",2
"International Ethnic,National Ethnic,Social,Kru",2
"International Ethnic,National Ethnic,Social,Kurd (Ethnic Group),National Ethnic Minority",2
"International Ethnic,National Ethnic,Uyghur,Social",2
"International Ethnic,Nationalist,Elite,Ideological,Dissident,Insurgents,Tajik",2
"International Ethnic,Nationalist,Ideological,Elite,Insurgents,Dissident,Tajik",2
"International Ethnic,Nubian,Army,Military,Cabinet,Government,Executive,Defense / Security Ministry",2
"International Ethnic,Oromo,Dissident,Separatists",2
"International Ethnic,Oromo,Separatists,Dissident",2
"International Ethnic,Pashtun",2
"International Ethnic,Pashtun,Development NGOs,Nongovernmental Organizations / Activists",2
"International Ethnic,Radicals / Extremists / Fundamentalists,International Religious,Dissident,Kurd (Ethnic Group),Sunni",2
"International Ethnic,Separatists,Dissident,Unidentified Forces,Tamil",2
"International Ethnic,Separatists,Media,Dissident,Tamil,Social",2
"International Ethnic,Separatists,Muslim,International Religious,Ijaw,Dissident",2
"International Ethnic,Separatists,Unidentified Forces,Dissident,Tamil",2
"International Ethnic,Social,Bantu, Gikuyu-Kamba,Bantu,National Ethnic",2
"International Ethnic,Social,Bantu,Bantu, East-Coastal,National Ethnic",2
"International Ethnic,Social,Chechen,Sufi,National Ethnic,National Ethnic Minority,International Religious",2
"International Ethnic,Social,Dissident,National Ethnic,National Ethnic Majority,Separatists",2
"International Ethnic,Social,Maya,National Ethnic",2
"International Ethnic,Social,Maya,National Ethnic,National Ethnic Minority,Other Central American Indigenous",2
"International Ethnic,Social,National Ethnic Minority,Dissident,Separatists,National Ethnic,Chechen",2
"International Ethnic,Social,Protestors / Popular Opposition / Mobs,National Ethnic,Mande,Dissident",2
"International Ethnic,Social,South American Indigenous,National Ethnic Minority,National Ethnic",2
"International Ethnic,Social,South American Indigenous,Nongovernmental Organizations / Activists,Ethnic NGOs,National Ethnic",2
"International Ethnic,State Owned Enterprises,Education,Government,Pashtun,State-Owned Defense / Security,Elite,Social",2
"International Ethnic,State-Owned Defense / Security,Pashtun,State Owned Enterprises,Social,Government,Education,Elite",2
"International Ethnic,Sufi,Chechen,Dissident,Separatists,Social,National Ethnic Minority,International Religious,National Ethnic",2
"International Ethnic,Tuareg,Elite,Organized Violent,Dissident",2
"International Ethnic,Unidentified Forces,Dissident,Tamil,Separatists",2
"International Ethnic,Unidentified Forces,Separatists,Dissident,Tamil",2
"International Ethnic,Uzbek,Cabinet,Executive,Social,Government,Education",2
"International Government Organization,Air Force,Government,Regional Diplomatic IGOs,Military,Regional",2
"International Government Organization,Business,Regional,Social,Regional Diplomatic IGOs",2
"International Government Organization,Cabinet,Executive,Regional Diplomatic IGOs,Government,Regional",2
"International Government Organization,Cabinet,Regional,Regional Diplomatic IGOs,Executive,Government",2
"International Government Organization,Defense / Security Ministry,Regional Defense / Security IGOs,Military,Government,Executive,Regional",2
"International Government Organization,Dissident,Radicals / Extremists / Fundamentalists,Regional Diplomatic IGOs,Separatists,Regional",2
"International Government Organization,Dissident,Regional Diplomatic IGOs,Rebel,Regional",2
"International Government Organization,Education,Elite,Social,Global,Global Economic/Financial/Trade IGOs",2
"International Government Organization,Elite,Executive,Regional,Interior / Home Ministry,Government,Regional Diplomatic IGOs",2
"International Government Organization,Elite,Government,Regional Diplomatic IGOs,Legislative / Parliamentary,Regional",2
"International Government Organization,Elite,Regional Diplomatic IGOs,Foreign Ministry,Regional,Government,Executive,Cabinet",2
"International Government Organization,Executive Office,Executive,Regional Diplomatic IGOs,Regional,Government,Elite",2
"International Government Organization,Executive Office,Government,Executive,Regional Diplomatic IGOs,Regional",2
"International Government Organization,Executive Office,Government,Executive,Regional,Regional Diplomatic IGOs,Elite",2
"International Government Organization,Executive,Cabinet,Government,Regional,Regional Diplomatic IGOs",2
"International Government Organization,Executive,Executive Office,Government,International Ethnic,Regional,Ijaw,Regional Economic/Financial/Trade IGOs,Elite",2
"International Government Organization,Executive,Global,Foreign Ministry,Global Diplomatic IGOs,Government",2
"International Government Organization,Executive,Global,Government,Global Diplomatic IGOs,Foreign Ministry",2
"International Government Organization,Executive,Government,Education,Regional Diplomatic IGOs,Elite,Regional,Social",2
"International Government Organization,Executive,Government,Regional Defense / Security IGOs,Foreign Ministry,Regional,Elite",2
"International Government Organization,Executive,Government,Regional,Finance / Economy / Commerce / Trade Ministry,Regional Diplomatic IGOs",2
"International Government Organization,Executive,Government,Regional,Regional Diplomatic IGOs,Defense / Security Ministry",2
"International Government Organization,Executive,Regional Diplomatic IGOs,Executive Office,Regional,Government",2
"International Government Organization,Executive,Regional Diplomatic IGOs,Government,Executive Office,Regional",2
"International Government Organization,Executive,Regional Diplomatic IGOs,Government,Interior / Home Ministry,Regional",2
"International Government Organization,Executive,Regional,Executive Office,Regional Diplomatic IGOs,Government",2
"International Government Organization,Executive,Regional,Government,Executive Office,Military,Regional Diplomatic IGOs,Elite",2
"International Government Organization,Executive,Regional,Government,Executive Office,Regional Diplomatic IGOs",2
"International Government Organization,Executive,Regional,Government,Interior / Home Ministry,Regional Diplomatic IGOs",2
"International Government Organization,Executive,Regional,Government,Regional Diplomatic IGOs,Executive Office",2
"International Government Organization,Finance / Economy / Commerce / Trade Ministry,Elite,Regional,Executive,Regional Diplomatic IGOs,Government",2
"International Government Organization,Foreign Ministry,Elite,Government,Regional Diplomatic IGOs,Executive,Regional",2
"International Government Organization,Foreign Ministry,Government,Global Economic/Financial/Trade IGOs,Executive,Global",2
"International Government Organization,Foreign Ministry,Regional,Regional Diplomatic IGOs,Executive,Government",2
"International Government Organization,General Population / Civilian / Social,Regional,Social,Regional Diplomatic IGOs",2
"International Government Organization,Global Diplomatic IGOs,Global Information / Communication / Transparency IGOs,Government,Elite,Global",2
"International Government Organization,Global Diplomatic IGOs,Global,Global Refugees IGOs",2
"International Government Organization,Global Diplomatic IGOs,Muslim,International Religious,Global",2
